zip_code,city,county
55001,Afton,Washington
55003,Bayport,Washington
55005,Bethel,Anoka
55006,Braham,Isanti
55007,Brook,Park
55008,Cambridge,Isanti
55009,Cannon,Falls
55011,Cedar,Anoka
55012,Center,City
55013,Chisago,City
55014,Circle,Pines
55016,Cottage,Grove
55017,Dalbo,Isanti
55018,Dennison,Goodhue
55019,Dundas,Rice
55020,Elko,New
55021,Faribault,Rice
55024,Farmington,Dakota
55025,Forest,Lake
55026,Frontenac,Goodhue
55027,Goodhue,Goodhue
55030,Grasston,Pine
55031,Hampton,Dakota
55032,Harris,Chisago
55033,Hastings,Dakota
55036,Henriette,Pine
55037,Hinckley,Pine
55038,Hugo,Washington
55040,Isanti,Isanti
55041,Lake,City
55042,Lake,Elmo
55043,Lakeland,Washington
55044,Lakeville,Dakota
55045,Lindstrom,Chisago
55046,Lonsdale,Rice
55047,Marine,On
55049,Medford,Steele
55049,Medford,Steele
55051,Mora,Kanabec
55052,Morristown,Rice
55053,Nerstrand,Rice
55054,Elko,New
55055,Newport,Washington
55056,North,Branch
55057,Northfield,Rice
55060,Owatonna,Steele
55063,Pine,City
55065,Randolph,Dakota
55066,Red,Wing
55068,Rosemount,Dakota
55069,Rush,City
55070,Saint,Francis
55071,Saint,Paul
55072,Sandstone,Pine
55073,Scandia,Washington
55074,Shafer,Chisago
55075,South,Saint
55076,Inver,Grove
55077,Inver,Grove
55079,Stacy,Chisago
55080,Stanchfield,Isanti
55082,Stillwater,Washington
55084,Taylors,Falls
55087,Warsaw,Rice
55088,Webster,Rice
55089,Welch,Goodhue
55092,Wyoming,Chisago
55101,Saint,Paul
55102,Saint,Paul
55103,Saint,Paul
55104,Saint,Paul
55105,Saint,Paul
55106,Saint,Paul
55107,Saint,Paul
55108,Saint,Paul
55109,Saint,Paul
55110,Saint,Paul
55111,Saint,Paul
55112,Saint,Paul
55113,Saint,Paul
55114,Saint,Paul
55115,Saint,Paul
55116,Saint,Paul
55117,Saint,Paul
55118,Saint,Paul
55119,Saint,Paul
55120,Saint,Paul
55121,Saint,Paul
55122,Saint,Paul
55123,Saint,Paul
55124,Saint,Paul
55125,Saint,Paul
55126,Saint,Paul
55127,Saint,Paul
55128,Saint,Paul
55129,Saint,Paul
55130,Saint,Paul
55131,Saint,Paul
55133,Saint,Paul
55144,Saint,Paul
55145,Saint,Paul
55146,Saint,Paul
55155,Saint,Paul
55170,Saint,Paul
55301,Albertville,Wright
55302,Annandale,Wright
55303,Anoka,Anoka
55304,Andover,Anoka
55305,Hopkins,Hennepin
55307,Arlington,Sibley
55308,Becker,Sherburne
55309,Big,Lake
55310,Bird,Island
55311,Maple,Grove
55312,Brownton,Mcleod
55313,Buffalo,Wright
55313,Buffalo,Wright
55314,Buffalo,Lake
55315,Carver,Carver
55316,Champlin,Hennepin
55317,Chanhassen,Carver
55318,Chaska,Carver
55318,Chaska,Carver
55319,Clear,Lake
55320,Clearwater,Wright
55321,Cokato,Wright
55322,Cologne,Carver
55324,Darwin,Meeker
55325,Dassel,Meeker
55327,Dayton,Hennepin
55328,Delano,Wright
55329,Eden,Valley
55330,Elk,River
55331,Excelsior,Hennepin
55332,Fairfax,Renville
55333,Franklin,Renville
55334,Gaylord,Sibley
55335,Gibbon,Sibley
55336,Glencoe,Mcleod
55338,Green,Isle
55339,Hamburg,Carver
55340,Hamel,Hennepin
55341,Hanover,Wright
55341,Hanover,Wright
55342,Hector,Renville
55343,Hopkins,Hennepin
55345,Minnetonka,Hennepin
55349,Howard,Lake
55350,Hutchinson,Mcleod
55352,Jordan,Scott
55353,Kimball,Stearns
55353,Kimball,Stearns
55354,Lester,Prairie
55355,Litchfield,Meeker
55356,Long,Lake
55357,Loretto,Hennepin
55358,Maple,Lake
55359,Maple,Plain
55360,Mayer,Carver
55362,Monticello,Wright
55363,Montrose,Wright
55364,Mound,Hennepin
55367,New,Germany
55368,Norwood,Young
55369,Osseo,Hennepin
55370,Plato,Mcleod
55371,Princeton,Mille
55372,Prior,Lake
55372,Prior,Lake
55373,Rockford,Wright
55374,Rogers,Hennepin
55375,Saint,Bonifacius
55376,Saint,Michael
55376,Saint,Michael
55378,Savage,Scott
55379,Shakopee,Scott
55379,Shakopee,Scott
55381,Silver,Lake
55382,South,Haven
55384,Spring,Park
55385,Stewart,Mcleod
55386,Victoria,Carver
55387,Waconia,Carver
55387,Waconia,Carver
55388,Watertown,Carver
55389,Watkins,Meeker
55390,Waverly,Wright
55391,Wayzata,Hennepin
55395,Winsted,Mcleod
55396,Winthrop,Sibley
55397,Young,America
55398,Zimmerman,Sherburne
55401,Minneapolis,Hennepin
55402,Minneapolis,Hennepin
55403,Minneapolis,Hennepin
55404,Minneapolis,Hennepin
55405,Minneapolis,Hennepin
55406,Minneapolis,Hennepin
55407,Minneapolis,Hennepin
55408,Minneapolis,Hennepin
55409,Minneapolis,Hennepin
55410,Minneapolis,Hennepin
55411,Minneapolis,Hennepin
55412,Minneapolis,Hennepin
55413,Minneapolis,Hennepin
